ab extra:from without
duces tecum:bring with you
ergo:therefore
erratum:error
errata:errors
et cetera:and so on
etc:and so on
et ux:and wife
exempli gratia:for example
ex gratia:from grace
ex libris:from the library
ex officio:from the office
ex parte:by a party
ex post facto:by a subsequent act
factum:an act
felo de se:felon of himself
ferae naturae:wild animals of nature
fiat justitia ruat caelum:justice regardless of the consequences
fiduciary:trustee
fides:faith
fiducia:trust
fieri facias:that you cause to be made
flagrante delicto:in the progressing offence or misdeed
forum conveniens:at a convenient place
forum non conveniens:inappropriate forum
fructus naturales:plants and trees which grow naturally without cultivation
functus officio:having performed his office
gravamen:the essential element of a lawsuit
guardian ad litem:legal guardian
habeas corpus:produce the body
hostis humani generis:enemy of mankind
ibid:same place
id est:that is to say
ignorantia juris non excusat:ignorance of the law is no excuse
in camera:in the chamber
in curia:in open court
in flagrante delicto:caught in the act
in limine:at the threshold
in loco parentis:in the place of a parent
in personam:against the person
in re:in the matter of
in situ:in its original place
inter alia:among other things
intra:within
intra vires:within the powers
in vitro:outside
ipso facto:by the fact
ius:justice
jus:justice
ius ad bellum:justice to war
jus ad bellum:just war
ius civile:civil law
ius cogens:compelling law
jus cogens:compelling law
ius commune:common law
jus commune:common law
in limine:at the threshold
jurat:he swears
jurare:to swear
jus:justice
ius:justice
jus ad bellum:justice to war
ius ad bellum:just war
jus civile:civil law
jus cogens:compelling law
ius cogens:compelling law
Jus commune:common law
ius commune:common law
locus delicti:law of the place
locus in quo:scene of 
magna carta:great charter
Magna Carta Libertatum:Great Charter of Freedoms
magnum opus:great work
magna opera:great works
mala fide:bad faith
mala fides:in bad faith.
malum in se:wrong in itself
malum prohibitum:as wrong
mandamus:we command
mare clausum:closed sea
mare liberum:the free sea
mea culpa:my fault
mea maxima culpa:my big mistake
mens rea:guilty mind
motion in limine:at the threshold
mutatis mutandis:the necessary changes having been made
non compos mentis:unfit
non est factum:not my deed
nota bene:note well
novus actus interveniens:newly intervening act
nulla bona:no effects
obiter dictum:said by the way
obiter dicta:said by the way
onus probandi:burden of proof
opinio juris:an opinion of law
opinio juris sive necessitatis:an opinion of law or necessity
pacta sunt servanda:promises must be kept
per:for each
per annum:for each year
per capita:for each person
per pro:for another
per se:by itself
persona non grata:unacceptable person
post:after
post-mortem:after death
prima facie:first sight
pro bono:for the good
pro bono publico:for the public good
pro forma:as per form
pro rata:proportional
pro tempore:temporarily
pro tem:temporarily
quaere:query
quantum meruit:reasonable value of services
quasi:as if
quid pro quo:something for something
qui facit per alium facit per se:the one who acts through another acts in his or her own interests
quo warranto:by what warrant?
ratio decidendi:the reason
rationes decidendi:the reasons
ratio scripta:written reason
re:about
rebus sic stantibus:things thus standing
clausula rebus sic stantibus:things thus standing
res gestae:things done
res ipsa loquitur:the thing itself speaks
res iudicata:a matter already judged
res nullius:nobody's thing
res publica:public issue
res publica christiana:the worldwide community of Christianity
respondeat superior:let the master answer
restitutio in integrum:restoration to original condition
semble:it appears
sine die:without a day
sine qua non:essential condition
status quo:the existing state of affairs
sub judice:in the course of trial
subpoena:written command
subpoena duces tecum:bring with you under penalty of punishment
supra:beyond
tabula rasa:blank slate
terra firma:dry land
terra nullius:nobody's land
trail do novo:a new trail
ultra vires:beyond the powers
uberrima fides:utmost good faith
uberrima fidei:most abundant faith.
uno flatu:in one breath
unus multorum:one of many
uti possidetis:as you possess
uxor:wife
et ux:and wife
vel non:or not
vera cause:true cause
verbatim:in exactly the same words
versus:against
veto:I forbid
vice versa:the other way around
vide infra:see below
videlicet:namely
videre licet:it is permitted to see
vide supra:see above
v.s.:see above
vis major:an act of God
viz:namely
volenti non fit injuria:no injury is done to a person who consents
